"","station_id","stationname","date","daytype","rides","yearNumber"
"11875",40890,"O'Hare Airport","03/06/2018","W",9429,"2018"
"11914",40890,"O'Hare Airport","03/14/2018","W",9997,"2018"
"11976",40890,"O'Hare Airport","01/06/2018","A",6790,"2018"
"12020",40890,"O'Hare Airport","03/12/2018","W",10582,"2018"
"12275",40890,"O'Hare Airport","02/27/2018","W",9074,"2018"
"12318",40890,"O'Hare Airport","02/08/2018","W",10129,"2018"
"12409",40890,"O'Hare Airport","01/28/2018","U",8122,"2018"
"12531",40890,"O'Hare Airport","02/19/2018","W",10325,"2018"
"12583",40890,"O'Hare Airport","03/31/2018","A",7233,"2018"
"12587",40890,"O'Hare Airport","02/03/2018","A",6994,"2018"
"12664",40890,"O'Hare Airport","03/30/2018","W",10297,"2018"
"12775",40890,"O'Hare Airport","03/13/2018","W",9166,"2018"
"12837",40890,"O'Hare Airport","01/15/2018","W",7684,"2018"
"13298",40890,"O'Hare Airport","03/08/2018","W",10088,"2018"
"13388",40890,"O'Hare Airport","03/27/2018","W",10602,"2018"
"13438",40890,"O'Hare Airport","01/02/2018","W",9835,"2018"
"13693",40890,"O'Hare Airport","03/29/2018","W",11930,"2018"
"13980",40890,"O'Hare Airport","01/03/2018","W",9038,"2018"
"14067",40890,"O'Hare Airport","02/28/2018","W",8708,"2018"
"14072",40890,"O'Hare Airport","02/06/2018","W",8795,"2018"
"14165",40890,"O'Hare Airport","03/20/2018","W",9823,"2018"
"14470",40890,"O'Hare Airport","02/21/2018","W",9632,"2018"
"14524",40890,"O'Hare Airport","02/01/2018","W",8914,"2018"
"14525",40890,"O'Hare Airport","03/10/2018","A",8328,"2018"
"14597",40890,"O'Hare Airport","03/26/2018","W",11056,"2018"
"14631",40890,"O'Hare Airport","01/27/2018","A",7234,"2018"
"14661",40890,"O'Hare Airport","03/17/2018","A",8859,"2018"
"14666",40890,"O'Hare Airport","01/24/2018","W",8514,"2018"
"14888",40890,"O'Hare Airport","02/13/2018","W",8877,"2018"
"14958",40890,"O'Hare Airport","01/26/2018","W",10158,"2018"
"14973",40890,"O'Hare Airport","01/31/2018","W",8292,"2018"
"15084",40890,"O'Hare Airport","02/18/2018","U",8744,"2018"
"15591",40890,"O'Hare Airport","01/23/2018","W",8749,"2018"
"15754",40890,"O'Hare Airport","01/10/2018","W",8923,"2018"
"15910",40890,"O'Hare Airport","01/29/2018","W",9483,"2018"
"15956",40890,"O'Hare Airport","01/13/2018","A",6421,"2018"
"16065",40890,"O'Hare Airport","02/02/2018","W",9315,"2018"
"16157",40890,"O'Hare Airport","03/18/2018","U",9202,"2018"
"16295",40890,"O'Hare Airport","01/21/2018","U",6741,"2018"
"16304",40890,"O'Hare Airport","01/09/2018","W",8685,"2018"
"16636",40890,"O'Hare Airport","02/15/2018","W",10019,"2018"
"16727",40890,"O'Hare Airport","02/11/2018","U",8159,"2018"
"16917",40890,"O'Hare Airport","03/25/2018","U",10450,"2018"
"16967",40890,"O'Hare Airport","02/05/2018","W",9604,"2018"
"17061",40890,"O'Hare Airport","01/17/2018","W",6762,"2018"
"17504",40890,"O'Hare Airport","01/20/2018","A",6382,"2018"
"17657",40890,"O'Hare Airport","06/02/2018","A",9591,"2018"
"17854",40890,"O'Hare Airport","04/29/2018","U",10743,"2018"
"18000",40890,"O'Hare Airport","05/03/2018","W",11522,"2018"
"18047",40890,"O'Hare Airport","05/22/2018","W",12230,"2018"
"18117",40890,"O'Hare Airport","04/13/2018","W",12541,"2018"
"18210",40890,"O'Hare Airport","04/10/2018","W",9615,"2018"
"18614",40890,"O'Hare Airport","06/26/2018","W",10379,"2018"
"18621",40890,"O'Hare Airport","06/10/2018","U",11186,"2018"
"18839",40890,"O'Hare Airport","06/15/2018","W",13196,"2018"
"18970",40890,"O'Hare Airport","06/18/2018","W",11552,"2018"
"19189",40890,"O'Hare Airport","04/19/2018","W",11526,"2018"
"19224",40890,"O'Hare Airport","04/03/2018","W",9722,"2018"
"19349",40890,"O'Hare Airport","06/01/2018","W",13254,"2018"
"19543",40890,"O'Hare Airport","04/25/2018","W",10580,"2018"
"19599",40890,"O'Hare Airport","06/19/2018","W",11218,"2018"
"19656",40890,"O'Hare Airport","04/02/2018","W",10453,"2018"
"20065",40890,"O'Hare Airport","05/19/2018","A",9938,"2018"
"20226",40890,"O'Hare Airport","05/01/2018","W",10199,"2018"
"20480",40890,"O'Hare Airport","04/27/2018","W",12837,"2018"
"20593",40890,"O'Hare Airport","04/14/2018","A",8719,"2018"
"20667",40890,"O'Hare Airport","05/23/2018","W",12205,"2018"
"20801",40890,"O'Hare Airport","05/11/2018","W",12947,"2018"
"20882",40890,"O'Hare Airport","06/12/2018","W",11582,"2018"
"20953",40890,"O'Hare Airport","06/29/2018","W",14387,"2018"
"21065",40890,"O'Hare Airport","06/06/2018","W",12245,"2018"
"21143",40890,"O'Hare Airport","04/08/2018","U",8961,"2018"
"22053",40890,"O'Hare Airport","04/09/2018","W",10397,"2018"
"22143",40890,"O'Hare Airport","06/13/2018","W",11666,"2018"
"22190",40890,"O'Hare Airport","04/26/2018","W",11881,"2018"
"22236",40890,"O'Hare Airport","06/08/2018","W",14452,"2018"
"22258",40890,"O'Hare Airport","04/06/2018","W",10945,"2018"
"22405",40890,"O'Hare Airport","05/04/2018","W",12727,"2018"
"22543",40890,"O'Hare Airport","05/14/2018","W",11239,"2018"
"22554",40890,"O'Hare Airport","06/25/2018","W",12554,"2018"
"22684",40890,"O'Hare Airport","04/11/2018","W",10221,"2018"
"22919",40890,"O'Hare Airport","04/17/2018","W",10287,"2018"
"22962",40890,"O'Hare Airport","06/22/2018","W",13404,"2018"
"23393",40890,"O'Hare Airport","05/07/2018","W",12437,"2018"
"23589",40890,"O'Hare Airport","05/30/2018","W",10096,"2018"
"23657",40890,"O'Hare Airport","04/28/2018","A",9490,"2018"
"23840",40890,"O'Hare Airport","06/03/2018","U",11299,"2018"
"23902",40890,"O'Hare Airport","06/09/2018","A",10123,"2018"
"23967",40890,"O'Hare Airport","04/30/2018","W",11995,"2018"
"24165",40890,"O'Hare Airport","05/25/2018","W",14486,"2018"
"24261",40890,"O'Hare Airport","05/29/2018","W",12318,"2018"
"24447",40890,"O'Hare Airport","06/28/2018","W",13427,"2018"
"24617",40890,"O'Hare Airport","06/24/2018","U",11812,"2018"
"24787",40890,"O'Hare Airport","05/12/2018","A",9557,"2018"
"24864",40890,"O'Hare Airport","05/24/2018","W",13246,"2018"
"25109",40890,"O'Hare Airport","05/28/2018","U",13242,"2018"
"25545",40890,"O'Hare Airport","05/02/2018","W",9138,"2018"
"25549",40890,"O'Hare Airport","04/07/2018","A",8073,"2018"
"25581",40890,"O'Hare Airport","06/14/2018","W",12583,"2018"
"26017",40890,"O'Hare Airport","04/15/2018","U",9336,"2018"
"26108",40890,"O'Hare Airport","04/04/2018","W",10347,"2018"
"26127",40890,"O'Hare Airport","04/12/2018","W",11322,"2018"
"26238",40890,"O'Hare Airport","06/04/2018","W",11867,"2018"
"26245",40890,"O'Hare Airport","04/20/2018","W",12285,"2018"
"26480",40890,"O'Hare Airport","05/05/2018","A",9393,"2018"
"26682",40890,"O'Hare Airport","05/10/2018","W",13104,"2018"
"26748",40890,"O'Hare Airport","06/17/2018","U",11537,"2018"
"26750",40890,"O'Hare Airport","06/21/2018","W",11981,"2018"
"26899",40890,"O'Hare Airport","06/30/2018","A",9859,"2018"
"26957",40890,"O'Hare Airport","05/17/2018","W",12886,"2018"
"27208",40890,"O'Hare Airport","05/20/2018","U",10914,"2018"
"27285",40890,"O'Hare Airport","04/22/2018","U",10393,"2018"
"27341",40890,"O'Hare Airport","06/05/2018","W",12002,"2018"
"27453",40890,"O'Hare Airport","05/09/2018","W",10522,"2018"
"27756",40890,"O'Hare Airport","06/07/2018","W",13857,"2018"
"27902",40890,"O'Hare Airport","06/11/2018","W",12978,"2018"
"27984",40890,"O'Hare Airport","04/16/2018","W",10616,"2018"
"28211",40890,"O'Hare Airport","05/08/2018","W",11207,"2018"
"28278",40890,"O'Hare Airport","05/06/2018","U",10924,"2018"
"28428",40890,"O'Hare Airport","05/26/2018","A",11585,"2018"
"28508",40890,"O'Hare Airport","05/16/2018","W",11581,"2018"
"28573",40890,"O'Hare Airport","06/23/2018","A",10358,"2018"
"28743",40890,"O'Hare Airport","04/23/2018","W",11328,"2018"
"28812",40890,"O'Hare Airport","05/18/2018","W",13898,"2018"
"28948",40890,"O'Hare Airport","04/01/2018","U",9382,"2018"
"28985",40890,"O'Hare Airport","06/27/2018","W",12563,"2018"
"29010",40890,"O'Hare Airport","05/27/2018","U",9580,"2018"
"29671",40890,"O'Hare Airport","04/05/2018","W",11084,"2018"
"29755",40890,"O'Hare Airport","05/15/2018","W",12154,"2018"
"29822",40890,"O'Hare Airport","05/13/2018","U",11514,"2018"
"29899",40890,"O'Hare Airport","05/21/2018","W",12303,"2018"
"29915",40890,"O'Hare Airport","06/16/2018","A",9831,"2018"
"30134",40890,"O'Hare Airport","04/18/2018","W",10067,"2018"
"30198",40890,"O'Hare Airport","04/24/2018","W",10391,"2018"
"30329",40890,"O'Hare Airport","05/31/2018","W",12516,"2018"
"30492",40890,"O'Hare Airport","06/20/2018","W",12786,"2018"
"30531",40890,"O'Hare Airport","04/21/2018","A",8650,"2018"
"33172",40890,"O'Hare Airport","07/01/2018","U",9817,"2018"
"33173",40890,"O'Hare Airport","07/02/2018","W",11769,"2018"
"33174",40890,"O'Hare Airport","07/03/2018","W",11178,"2018"
"33175",40890,"O'Hare Airport","07/04/2018","U",10597,"2018"
"33176",40890,"O'Hare Airport","07/05/2018","W",11408,"2018"
"33177",40890,"O'Hare Airport","07/06/2018","W",12861,"2018"
"33178",40890,"O'Hare Airport","07/07/2018","A",10041,"2018"
"33179",40890,"O'Hare Airport","07/08/2018","U",12604,"2018"
"33180",40890,"O'Hare Airport","07/09/2018","W",12776,"2018"
"33181",40890,"O'Hare Airport","07/10/2018","W",11332,"2018"
"33182",40890,"O'Hare Airport","07/11/2018","W",12306,"2018"
"33183",40890,"O'Hare Airport","07/12/2018","W",13371,"2018"
"33184",40890,"O'Hare Airport","07/13/2018","W",15008,"2018"
"33185",40890,"O'Hare Airport","07/14/2018","A",10332,"2018"
"33186",40890,"O'Hare Airport","07/15/2018","U",12180,"2018"
"33187",40890,"O'Hare Airport","07/16/2018","W",11811,"2018"
"33188",40890,"O'Hare Airport","07/17/2018","W",11375,"2018"
"33189",40890,"O'Hare Airport","07/18/2018","W",12589,"2018"
"33190",40890,"O'Hare Airport","07/19/2018","W",15141,"2018"
"33191",40890,"O'Hare Airport","07/20/2018","W",15372,"2018"
"33192",40890,"O'Hare Airport","07/21/2018","A",10589,"2018"
"33193",40890,"O'Hare Airport","07/22/2018","U",11636,"2018"
"33194",40890,"O'Hare Airport","07/23/2018","W",12752,"2018"
"33195",40890,"O'Hare Airport","07/24/2018","W",12078,"2018"
"33196",40890,"O'Hare Airport","07/25/2018","W",11948,"2018"
"33197",40890,"O'Hare Airport","07/26/2018","W",13551,"2018"
"33198",40890,"O'Hare Airport","07/27/2018","W",14128,"2018"
"33199",40890,"O'Hare Airport","07/28/2018","A",10353,"2018"
"33200",40890,"O'Hare Airport","07/29/2018","U",11943,"2018"
"33201",40890,"O'Hare Airport","07/30/2018","W",12585,"2018"
"33202",40890,"O'Hare Airport","07/31/2018","W",11747,"2018"
"37646",40890,"O'Hare Airport","08/01/2018","W",13193,"2018"
"37647",40890,"O'Hare Airport","08/02/2018","W",14426,"2018"
"37648",40890,"O'Hare Airport","08/03/2018","W",14303,"2018"
"37649",40890,"O'Hare Airport","08/04/2018","A",10278,"2018"
"37650",40890,"O'Hare Airport","08/05/2018","U",11601,"2018"
"37651",40890,"O'Hare Airport","08/06/2018","W",12180,"2018"
"37652",40890,"O'Hare Airport","08/07/2018","W",10955,"2018"
"37653",40890,"O'Hare Airport","08/08/2018","W",12142,"2018"
"37654",40890,"O'Hare Airport","08/09/2018","W",14127,"2018"
"37655",40890,"O'Hare Airport","08/10/2018","W",16095,"2018"
"37656",40890,"O'Hare Airport","08/11/2018","A",10294,"2018"
"37657",40890,"O'Hare Airport","08/12/2018","U",11711,"2018"
"37658",40890,"O'Hare Airport","08/13/2018","W",11254,"2018"
"37659",40890,"O'Hare Airport","08/14/2018","W",11777,"2018"
"37660",40890,"O'Hare Airport","08/15/2018","W",11586,"2018"
"37661",40890,"O'Hare Airport","08/16/2018","W",12983,"2018"
"37662",40890,"O'Hare Airport","08/17/2018","W",14455,"2018"
"37663",40890,"O'Hare Airport","08/18/2018","A",10845,"2018"
"37664",40890,"O'Hare Airport","08/19/2018","U",11728,"2018"
"37665",40890,"O'Hare Airport","08/20/2018","W",11348,"2018"
"37666",40890,"O'Hare Airport","08/21/2018","W",12391,"2018"
"37667",40890,"O'Hare Airport","08/22/2018","W",11559,"2018"
"37668",40890,"O'Hare Airport","08/23/2018","W",13872,"2018"
"37669",40890,"O'Hare Airport","08/24/2018","W",13737,"2018"
"37670",40890,"O'Hare Airport","08/25/2018","A",10026,"2018"
"37671",40890,"O'Hare Airport","08/26/2018","U",11728,"2018"
"37672",40890,"O'Hare Airport","08/27/2018","W",12362,"2018"
"37673",40890,"O'Hare Airport","08/28/2018","W",9898,"2018"
"37674",40890,"O'Hare Airport","08/29/2018","W",11377,"2018"
"37675",40890,"O'Hare Airport","08/30/2018","W",13053,"2018"
"37676",40890,"O'Hare Airport","08/31/2018","W",15265,"2018"
"42028",40890,"O'Hare Airport","09/01/2018","A",10918,"2018"
"42029",40890,"O'Hare Airport","09/02/2018","U",9869,"2018"
"42030",40890,"O'Hare Airport","09/03/2018","U",12096,"2018"
"42031",40890,"O'Hare Airport","09/04/2018","W",14460,"2018"
"42032",40890,"O'Hare Airport","09/05/2018","W",10455,"2018"
"42033",40890,"O'Hare Airport","09/06/2018","W",11452,"2018"
"42034",40890,"O'Hare Airport","09/07/2018","W",12734,"2018"
"42035",40890,"O'Hare Airport","09/08/2018","A",9573,"2018"
"42036",40890,"O'Hare Airport","09/09/2018","U",11308,"2018"
"42037",40890,"O'Hare Airport","09/10/2018","W",12356,"2018"
"42038",40890,"O'Hare Airport","09/11/2018","W",10748,"2018"
"42039",40890,"O'Hare Airport","09/12/2018","W",11305,"2018"
"42040",40890,"O'Hare Airport","09/13/2018","W",13594,"2018"
"42041",40890,"O'Hare Airport","09/14/2018","W",14189,"2018"
"42042",40890,"O'Hare Airport","09/15/2018","A",9936,"2018"
"42043",40890,"O'Hare Airport","09/16/2018","U",11153,"2018"
"42044",40890,"O'Hare Airport","09/17/2018","W",12042,"2018"
"42045",40890,"O'Hare Airport","09/18/2018","W",9846,"2018"
"42046",40890,"O'Hare Airport","09/19/2018","W",10638,"2018"
"42047",40890,"O'Hare Airport","09/20/2018","W",13226,"2018"
"42048",40890,"O'Hare Airport","09/21/2018","W",14575,"2018"
"42049",40890,"O'Hare Airport","09/22/2018","A",9808,"2018"
"42050",40890,"O'Hare Airport","09/23/2018","U",11441,"2018"
"42051",40890,"O'Hare Airport","09/24/2018","W",12629,"2018"
"42052",40890,"O'Hare Airport","09/25/2018","W",10350,"2018"
"42053",40890,"O'Hare Airport","09/26/2018","W",11516,"2018"
"42054",40890,"O'Hare Airport","09/27/2018","W",14230,"2018"
"42055",40890,"O'Hare Airport","09/28/2018","W",15489,"2018"
"42056",40890,"O'Hare Airport","09/29/2018","A",9783,"2018"
"42057",40890,"O'Hare Airport","09/30/2018","U",11430,"2018"
"46444",40890,"O'Hare Airport","10/01/2018","W",11946,"2018"
"46445",40890,"O'Hare Airport","10/02/2018","W",11199,"2018"
"46446",40890,"O'Hare Airport","10/03/2018","W",12534,"2018"
"46447",40890,"O'Hare Airport","10/04/2018","W",16072,"2018"
"46448",40890,"O'Hare Airport","10/05/2018","W",17788,"2018"
"46449",40890,"O'Hare Airport","10/06/2018","A",12223,"2018"
"46450",40890,"O'Hare Airport","10/07/2018","U",11523,"2018"
"46451",40890,"O'Hare Airport","10/08/2018","W",12804,"2018"
"46452",40890,"O'Hare Airport","10/09/2018","W",11264,"2018"
"46453",40890,"O'Hare Airport","10/10/2018","W",11266,"2018"
"46454",40890,"O'Hare Airport","10/11/2018","W",12349,"2018"
"46455",40890,"O'Hare Airport","10/12/2018","W",14373,"2018"
"46456",40890,"O'Hare Airport","10/13/2018","A",9858,"2018"
"46457",40890,"O'Hare Airport","10/14/2018","U",11723,"2018"
"46458",40890,"O'Hare Airport","10/15/2018","W",12651,"2018"
"46459",40890,"O'Hare Airport","10/16/2018","W",11157,"2018"
"46460",40890,"O'Hare Airport","10/17/2018","W",11522,"2018"
"46461",40890,"O'Hare Airport","10/18/2018","W",14164,"2018"
"46462",40890,"O'Hare Airport","10/19/2018","W",14320,"2018"
"46463",40890,"O'Hare Airport","10/20/2018","A",9817,"2018"
"46464",40890,"O'Hare Airport","10/21/2018","U",11507,"2018"
"46465",40890,"O'Hare Airport","10/22/2018","W",12371,"2018"
"46466",40890,"O'Hare Airport","10/23/2018","W",10468,"2018"
"46467",40890,"O'Hare Airport","10/24/2018","W",10610,"2018"
"46468",40890,"O'Hare Airport","10/25/2018","W",13345,"2018"
"46469",40890,"O'Hare Airport","10/26/2018","W",14355,"2018"
"46470",40890,"O'Hare Airport","10/27/2018","A",9513,"2018"
"46471",40890,"O'Hare Airport","10/28/2018","U",10636,"2018"
"46472",40890,"O'Hare Airport","10/29/2018","W",11708,"2018"
"46473",40890,"O'Hare Airport","10/30/2018","W",9474,"2018"
"46474",40890,"O'Hare Airport","10/31/2018","W",9394,"2018"
"50739",40890,"O'Hare Airport","11/01/2018","W",11936,"2018"
"50740",40890,"O'Hare Airport","11/02/2018","W",13228,"2018"
"50741",40890,"O'Hare Airport","11/03/2018","A",8537,"2018"
"50742",40890,"O'Hare Airport","11/04/2018","U",10106,"2018"
"50743",40890,"O'Hare Airport","11/05/2018","W",11382,"2018"
"50744",40890,"O'Hare Airport","11/06/2018","W",9660,"2018"
"50745",40890,"O'Hare Airport","11/07/2018","W",10393,"2018"
"50746",40890,"O'Hare Airport","11/08/2018","W",12845,"2018"
"50747",40890,"O'Hare Airport","11/09/2018","W",14162,"2018"
"50748",40890,"O'Hare Airport","11/10/2018","A",8979,"2018"
"50749",40890,"O'Hare Airport","11/11/2018","U",10109,"2018"
"50750",40890,"O'Hare Airport","11/12/2018","W",9152,"2018"
"50751",40890,"O'Hare Airport","11/13/2018","W",10472,"2018"
"50752",40890,"O'Hare Airport","11/14/2018","W",10144,"2018"
"50753",40890,"O'Hare Airport","11/15/2018","W",11626,"2018"
"50754",40890,"O'Hare Airport","11/16/2018","W",13379,"2018"
"50755",40890,"O'Hare Airport","11/17/2018","A",9151,"2018"
"50756",40890,"O'Hare Airport","11/18/2018","U",9338,"2018"
"50757",40890,"O'Hare Airport","11/19/2018","W",10448,"2018"
"50758",40890,"O'Hare Airport","11/20/2018","W",11030,"2018"
"50759",40890,"O'Hare Airport","11/21/2018","W",12310,"2018"
"50760",40890,"O'Hare Airport","11/22/2018","U",7765,"2018"
"50761",40890,"O'Hare Airport","11/23/2018","W",9739,"2018"
"50762",40890,"O'Hare Airport","11/24/2018","A",12745,"2018"
"50763",40890,"O'Hare Airport","11/25/2018","U",14327,"2018"
"50764",40890,"O'Hare Airport","11/26/2018","W",12932,"2018"
"50765",40890,"O'Hare Airport","11/27/2018","W",13899,"2018"
"50766",40890,"O'Hare Airport","11/28/2018","W",10393,"2018"
"50767",40890,"O'Hare Airport","11/29/2018","W",11347,"2018"
"50768",40890,"O'Hare Airport","11/30/2018","W",11900,"2018"
"55165",40890,"O'Hare Airport","12/01/2018","A",7860,"2018"
"55166",40890,"O'Hare Airport","12/02/2018","U",9234,"2018"
"55167",40890,"O'Hare Airport","12/03/2018","W",10616,"2018"
"55168",40890,"O'Hare Airport","12/04/2018","W",9101,"2018"
"55169",40890,"O'Hare Airport","12/05/2018","W",9522,"2018"
"55170",40890,"O'Hare Airport","12/06/2018","W",11280,"2018"
"55171",40890,"O'Hare Airport","12/07/2018","W",12073,"2018"
"55172",40890,"O'Hare Airport","12/08/2018","A",8361,"2018"
"55173",40890,"O'Hare Airport","12/09/2018","U",9351,"2018"
"55174",40890,"O'Hare Airport","12/10/2018","W",10649,"2018"
"55175",40890,"O'Hare Airport","12/11/2018","W",9604,"2018"
"55176",40890,"O'Hare Airport","12/12/2018","W",9882,"2018"
"55177",40890,"O'Hare Airport","12/13/2018","W",11449,"2018"
"55178",40890,"O'Hare Airport","12/14/2018","W",11836,"2018"
"55179",40890,"O'Hare Airport","12/15/2018","A",8659,"2018"
"55180",40890,"O'Hare Airport","12/16/2018","U",9107,"2018"
"55181",40890,"O'Hare Airport","12/17/2018","W",10645,"2018"
"55182",40890,"O'Hare Airport","12/18/2018","W",10162,"2018"
"55183",40890,"O'Hare Airport","12/19/2018","W",10471,"2018"
"55184",40890,"O'Hare Airport","12/20/2018","W",10490,"2018"
"55185",40890,"O'Hare Airport","12/21/2018","W",10705,"2018"
"55186",40890,"O'Hare Airport","12/22/2018","A",8331,"2018"
"55187",40890,"O'Hare Airport","12/23/2018","U",7823,"2018"
"55188",40890,"O'Hare Airport","12/24/2018","W",7495,"2018"
"55189",40890,"O'Hare Airport","12/25/2018","U",7752,"2018"
"55190",40890,"O'Hare Airport","12/26/2018","W",12820,"2018"
"55191",40890,"O'Hare Airport","12/27/2018","W",11910,"2018"
"55192",40890,"O'Hare Airport","12/28/2018","W",11819,"2018"
"55193",40890,"O'Hare Airport","12/29/2018","A",10074,"2018"
"55194",40890,"O'Hare Airport","12/30/2018","U",10149,"2018"
"55195",40890,"O'Hare Airport","12/31/2018","W",8820,"2018"
"59642",40890,"O'Hare Airport","01/01/2019","U",9550,"2019"
"59643",40890,"O'Hare Airport","01/02/2019","W",10681,"2019"
"59644",40890,"O'Hare Airport","01/03/2019","W",10437,"2019"
"59645",40890,"O'Hare Airport","01/04/2019","W",9986,"2019"
"59646",40890,"O'Hare Airport","01/05/2019","A",8161,"2019"
"59647",40890,"O'Hare Airport","01/06/2019","U",8691,"2019"
"59648",40890,"O'Hare Airport","01/07/2019","W",9569,"2019"
"59649",40890,"O'Hare Airport","01/08/2019","W",8793,"2019"
"59650",40890,"O'Hare Airport","01/09/2019","W",9176,"2019"
"59651",40890,"O'Hare Airport","01/10/2019","W",10045,"2019"
"59652",40890,"O'Hare Airport","01/11/2019","W",10063,"2019"
"59653",40890,"O'Hare Airport","01/12/2019","A",7712,"2019"
"59654",40890,"O'Hare Airport","01/13/2019","U",8561,"2019"
"59655",40890,"O'Hare Airport","01/14/2019","W",9588,"2019"
